Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-1235.0616,-674.7213,1142.0481,-226.2543,-146.5593,-139.6599,-219.6772,-99.47559,-104.7301,-245.5708,-111.2009,-139.6599
-1360.3617,-743.17346,973.32635,-226.2543,-146.5593,-139.6599,-245.5708,-111.2009,-139.6599,-257.113,-140.4615,-178.1334
-48.9881,-37.21018,295.25388,-33.64703,-29.77375,-3.072789,-37.70877,-24.42637,-3.072789,-66.66745,-58.99303,-12.23393
-97.06404,-73.727356,585.0095,-66.66745,-58.99303,-12.23393,-37.70877,-24.42637,-3.072789,-74.71529,-48.39784,-12.23393
-159.76375,-121.35245,563.0137,-66.66745,-58.99303,-12.23393,-74.71529,-48.39784,-12.23393,-98.44633,-87.11368,-27.31282
-235.91933,-179.19861,831.3898,-98.44633,-87.11368,-27.31282,-74.71529,-48.39784,-12.23393,-110.3304,-71.46801,-27.31282
-324.11285,-246.1883,783.4249,-98.44633,-87.11368,-27.31282,-110.3304,-71.46801,-27.31282,-128.3918,-113.612,-48.02864
-422.7017,-321.07434,1021.7283,-128.3918,-113.612,-48.02864,-110.3304,-71.46801,-27.31282,-143.8908,-93.20722,-48.02864
-529.8503,-402.4619,940.1493,-128.3918,-113.612,-48.02864,-143.8908,-93.20722,-48.02864,-155.9463,-137.9946,-73.99561
-643.56537,-488.8361,1141.9197,-155.9463,-137.9946,-73.99561,-143.8908,-93.20722,-48.02864,-174.7716,-113.2106,-73.99561
-761.7235,-578.58606,1021.5618,-155.9463,-137.9946,-73.99561,-174.7716,-113.2106,-73.99561,-180.5966,-159.8072,-104.7301
-882.1229,-670.0424,1183.0378,-180.5966,-159.8072,-104.7301,-174.7716,-113.2106,-73.99561,-202.3976,-131.1058,-104.7301
-1002.534,-761.5043,1021.6259,-180.5966,-159.8072,-104.7301,-202.3976,-131.1058,-104.7301,-201.8837,-178.6438,-139.6599
